,data_source,#nodes in ROI,node density in ROI,% new edges,P_MWU,P_fisher,border_size,k,img_size,P_MWU_adj,P_fisher_adj
glioma_mibitof:Brainiaqc_R1C1_whole_cell.tiff,glioma_mibitof,480,0.00011517088480032248,5.416666666666667,2.5561361208284283e-36,3.715642206521699e-32,0.125,5,"(2040, 2043)",2.6224747389445407e-36,4.02216658959004e-32
glioma_mibitof:Brainiaqc_R1C2_whole_cell.tiff,glioma_mibitof,5541,0.0013269021325264159,1.8119473019310595,8.022343186778444e-272,4.170698997858974e-194,0.125,5,"(2043, 2044)",1.872479654133713e-271,1.0247909496706197e-193
glioma_mibitof:Brainiaqc_R1C3_whole_cell.tiff,glioma_mibitof,4098,0.0009827894336466045,2.005856515373353,3.53845013363257e-179,4.188176687613718e-138,0.125,5,"(2042, 2042)",5.989474128636594e-179,7.68940375979873e-138
glioma_mibitof:Brainiaqc_R1C4_whole_cell.tiff,glioma_mibitof,1870,0.00044846673539958987,3.0374331550802136,4.6508407711382475e-119,8.469073323775965e-64,0.125,5,"(2041, 2043)",6.390046514854706e-119,1.1075760464887914e-63
glioma_mibitof:Brainiaqc_R2C1_whole_cell.tiff,glioma_mibitof,351,8.438392522286011e-05,6.6096866096866105,1.0739121739242193e-58,5.742790563375243e-21,0.125,5,"(2040, 2039)",1.1805095808396117e-58,5.878313644516841e-21
glioma_mibitof:Brainiaqc_R2C2_whole_cell.tiff,glioma_mibitof,2594,0.0006220981543302252,2.7679259830377796,1.073667607430731e-174,1.24464498732442e-86,0.125,5,"(2044, 2040)",1.7930823197893975e-174,1.793736176933163e-86
glioma_mibitof:Brainiaqc_R2C3_whole_cell.tiff,glioma_mibitof,7444,0.0017904917767022962,1.4266523374529823,1.8866170602933398e-276,4.344353452584277e-199,0.125,5,"(2041, 2037)",4.490781310439101e-276,1.0853932665936557e-198
glioma_mibitof:Brainiaqc_R2C4_whole_cell.tiff,glioma_mibitof,6116,0.0014681876668395076,1.801831262262917,6.396156992587884e-246,1.0118871999787983e-183,0.125,5,"(2042, 2040)",1.3570107532508129e-245,2.3134141475357155e-183
glioma_mibitof:Brainiaqc_R2C5_whole_cell.tiff,glioma_mibitof,215,5.176438297457406e-05,10.883720930232558,8.637459732853224e-45,3.0050978993557383e-26,0.125,5,"(2041, 2035)",9.064108449496175e-45,3.1577795221022784e-26
glioma_mibitof:Brainiaqc_R3C1_whole_cell.tiff,glioma_mibitof,1460,0.0003501398041087707,2.9178082191780823,4.2321718294898593e-76,5.4806714497573845e-49,0.125,5,"(2043, 2041)",4.957641644222367e-76,6.583129591381658e-49
glioma_mibitof:Brainiaqc_R3C2_whole_cell.tiff,glioma_mibitof,2523,0.000604774047498853,2.2829964328180736,1.1100950262618139e-145,1.1062267301896349e-72,0.125,5,"(2043, 2042)",1.6837429660105126e-145,1.5059921876121316e-72
glioma_mibitof:Brainiaqc_R3C3_whole_cell.tiff,glioma_mibitof,8642,0.0020705114321364843,1.594538301319139,0.0,5.682524487083729e-237,0.125,5,"(2044, 2042)",0.0,1.6933706081261912e-236
glioma_mibitof:Brainiaqc_R3C4_whole_cell.tiff,glioma_mibitof,3505,0.0008401641112573841,2.225392296718973,2.1429144579796912e-167,2.1243353768602198e-116,0.125,5,"(2044, 2041)",3.503833430508155e-167,3.488064869576481e-116
glioma_mibitof:Brainiaqc_R3C5_whole_cell.tiff,glioma_mibitof,933,0.00022364425557864175,3.622722400857449,4.847231789658431e-70,9.643639304532701e-48,0.125,5,"(2044, 2041)",5.5429897030769976e-70,1.14863026499068e-47
glioma_mibitof:Brainiaqc_R4C1_whole_cell.tiff,glioma_mibitof,1516,0.00036374804449435183,2.941952506596306,1.0310818035542987e-104,4.241140520168115e-51,0.125,5,"(2043, 2040)",1.354107852186743e-104,5.1537283441575964e-51
glioma_mibitof:Brainiaqc_R4C3_whole_cell.tiff,glioma_mibitof,1992,0.0004772573229170485,3.1124497991967868,1.0303329807245452e-87,8.58287172058465e-79,0.125,5,"(2043, 2043)",1.2663242419530715e-87,1.2009098738076102e-78
glioma_mibitof:Brainiaqc_R4C4_whole_cell.tiff,glioma_mibitof,820,0.0007873864531120969,3.585365853658536,1.1592307690256832e-63,1.3822527870855775e-40,0.125,5,"(1021, 1020)",1.292494713197861e-63,1.5731688972551963e-40
glioma_mibitof:Brainiaqc_R5C1_whole_cell.tiff,glioma_mibitof,794,0.00019023208554022917,3.803526448362721,1.8581448458351353e-75,4.898211531710711e-40,0.125,5,"(2043, 2043)",2.1725894247634324e-75,5.556525468046695e-40
glioma_mibitof:Brainiaqc_R5C2_whole_cell.tiff,glioma_mibitof,1305,0.00031312084305087673,3.3716475095785436,1.519438983645241e-108,2.275391419998933e-50,0.125,5,"(2043, 2040)",2.01837853931267e-108,2.751083006061428e-50
glioma_mibitof:Brainiaqc_R5C3_whole_cell.tiff,glioma_mibitof,2066,0.0004957144454452576,2.3523717328170375,7.120684842069399e-91,8.778040063375365e-69,0.125,5,"(2041, 2042)",8.873862235348257e-91,1.1700306921861402e-68
glioma_mibitof:Brainiaqc_R5C4_whole_cell.tiff,glioma_mibitof,3527,0.0008462656578341837,2.2738871562234193,7.012842981398042e-186,5.561824619082353e-122,0.125,5,"(2041, 2042)",1.2073378517588801e-185,9.424621967115675e-122
glioma_mibitof:Brainiaqc_R5C5_whole_cell.tiff,glioma_mibitof,2029,0.0004863603371586968,2.750123213405619,3.1252537408154707e-124,2.201013387219896e-52,0.125,5,"(2044, 2041)",4.376756696218257e-124,2.699829068455513e-52
glioma_mibitof:Brainiaqc_R6C1_whole_cell.tiff,glioma_mibitof,186,0.00017877756514567968,9.67741935483871,3.7138186198948165e-36,1.1079764986457497e-20,0.125,5,"(1021, 1019)",3.8089509195177376e-36,1.1333804799445385e-20
glioma_mibitof:Brainiaqc_R6C2_whole_cell.tiff,glioma_mibitof,789,0.00018931205104371165,3.574144486692015,1.0725837454705183e-74,3.5412859947283886e-35,0.125,5,"(2042, 2041)",1.2508136807708844e-74,3.8873237826139746e-35
glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,glioma_mibitof,668,0.0006408042669122444,4.04191616766467,3.821994969468042e-66,2.595403719362866e-52,0.125,5,"(1022, 1020)",4.309057866299168e-66,3.1773601785849587e-52
glioma_mibitof:Brainiaqc_R6C4_whole_cell.tiff,glioma_mibitof,1963,0.00047100070494145244,1.95618950585838,5.666593763991295e-93,1.7808491266603843e-71,0.125,5,"(2042, 2041)",7.115710625229118e-93,2.4076155076018964e-71
glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,glioma_mibitof,68,6.555227794165847e-05,10.588235294117647,3.595636774187704e-17,5.2813711083492755e-08,0.125,5,"(1020, 1017)",3.6014027087197563e-17,5.286449349799612e-08
glioma_mibitof:Brainiaqc_R7C1_whole_cell.tiff,glioma_mibitof,3030,0.0007266600044175173,2.4224422442244222,6.427698330101785e-175,5.148532222028887e-103,0.125,5,"(2043, 2041)",1.0757610870797361e-174,8.015386903986148e-103
glioma_mibitof:Brainiaqc_R7C2_whole_cell.tiff,glioma_mibitof,2117,0.0005072056991041123,2.6452527161076995,6.891567933936946e-109,8.880559159309321e-76,0.125,5,"(2043, 2043)",9.15845389688727e-109,1.230980304239814e-75
glioma_mibitof:Brainiaqc_R7C3_whole_cell.tiff,glioma_mibitof,1467,0.0003518184722204902,2.9720518064076344,3.0239012740358434e-96,1.263699359517002e-50,0.125,5,"(2042, 2042)",3.8545484403322204e-96,1.5296639921595338e-50
glioma_mibitof:Brainiaqc_R7C4_whole_cell.tiff,glioma_mibitof,1716,0.00041153418071962364,2.7855477855477857,1.358028035028294e-121,1.8380083423766317e-60,0.125,5,"(2043, 2041)",1.8832688958229849e-121,2.353464556474875e-60
glioma_mibitof:Brainiaqc_R7C5_whole_cell.tiff,glioma_mibitof,3383,0.0008105230473174873,2.0987289388117056,1.1813082332302048e-153,7.01954325939145e-122,0.125,5,"(2044, 2042)",1.8455355739759528e-153,1.1888304554815346e-121
glioma_mibitof:Brainiaqc_R8C1_whole_cell.tiff,glioma_mibitof,384,0.0003683665246920686,4.010416666666667,2.7277291248977703e-22,1.0492608342275203e-18,0.125,5,"(1022, 1020)",2.7373708409562136e-22,1.0656395399325351e-18
glioma_mibitof:Brainiaqc_R8C2_whole_cell.tiff,glioma_mibitof,2587,0.0006207227833334373,1.6312330885195205,5.601888520139536e-94,1.9361750149128014e-50,0.125,5,"(2042, 2041)",7.074281378243337e-94,2.342764266397783e-50
glioma_mibitof:Brainiaqc_R8C3_whole_cell.tiff,glioma_mibitof,2638,0.000632031136757594,1.8043972706595905,1.0938160854244623e-111,1.179392361447191e-51,0.125,5,"(2045, 2041)",1.4692419934540197e-111,1.4370824599296048e-51
glioma_mibitof:Brainiaqc_R8C4_whole_cell.tiff,glioma_mibitof,1346,0.00032232634368896515,3.2392273402674596,2.010939009283722e-109,2.030876191798115e-61,0.125,5,"(2043, 2044)",2.6781076869906457e-109,2.6122019551011172e-61
glioma_mibitof:Brainiaqc_R8C5_whole_cell.tiff,glioma_mibitof,1945,0.0004659968451175031,3.1259640102827766,9.221199533376252e-101,1.1013486715097092e-78,0.125,5,"(2044, 2042)",1.1929497159376155e-100,1.5403098527204756e-78
glioma_mibitof:Brainiaqc_R9C1_whole_cell.tiff,glioma_mibitof,608,0.0005838193693598535,4.309210526315789,5.740054756565233e-47,6.220043289778285e-25,0.125,5,"(1022, 1019)",6.066392895009551e-47,6.477224139372319e-25
glioma_mibitof:Brainiaqc_R9C2_whole_cell.tiff,glioma_mibitof,1945,0.00046599673347071254,2.3547557840616964,1.8862052920988038e-102,5.951588270226101e-46,0.125,5,"(2043, 2043)",2.45136043579882e-102,7.003319580978188e-46
glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,glioma_mibitof,607,0.0001455718226671396,4.250411861614498,1.0765654567642364e-57,4.2017132008551293e-20,0.125,5,"(2043, 2041)",1.181762362557016e-57,4.2952374226744907e-20
glioma_mibitof:Brainiaqc_R9C4_whole_cell.tiff,glioma_mibitof,321,7.717162392176096e-05,6.915887850467289,5.014243496532456e-51,5.277279437103142e-19,0.125,5,"(2039, 2040)",5.384966451056004e-51,5.364890521508175e-19
glioma_mibitof:Brainiaqc_R9C5_whole_cell.tiff,glioma_mibitof,452,0.00010850566810084593,4.778761061946903,1.492763279700946e-53,2.8951046502592604e-38,0.125,5,"(2041, 2041)",1.6147903437845703e-53,3.2464674408472784e-38
glioma_mibitof:CHOP_1101_R1C2_whole_cell.tiff,glioma_mibitof,2384,0.0005714551443667323,2.7516778523489935,1.6745788157172499e-137,1.209525601731282e-80,0.125,5,"(2043, 2042)",2.4691735795490893e-137,1.709981192488363e-80
glioma_mibitof:CHOP_1101_R1C3_whole_cell.tiff,glioma_mibitof,638,0.000614432223214174,2.1630094043887147,1.1573628328723784e-32,5.584905060259723e-29,0.125,5,"(1021, 1017)",1.1773433638633348e-32,5.942643442313838e-29
glioma_mibitof:CHOP_1101_R2C1_whole_cell.tiff,glioma_mibitof,848,0.00021972441169306988,1.8632075471698113,1.6939371373904515e-30,4.539056431311315e-22,0.125,5,"(1890, 2042)",1.7187023002177975e-30,4.666054389396062e-22
glioma_mibitof:CHOP_1101_R2C2_whole_cell.tiff,glioma_mibitof,1600,0.0003837148538178309,3.025,2.7321988876361332e-99,4.242475511499942e-73,0.125,5,"(2041, 2043)",3.520073071818335e-99,5.793288597470188e-73
glioma_mibitof:CHOP_1101_R2C3_whole_cell.tiff,glioma_mibitof,2788,0.0006679687425129041,2.4748923959827835,4.317379515587478e-154,1.1834245285141988e-114,0.125,5,"(2044, 2042)",6.76187373479423e-154,1.9289325691805024e-114
glioma_mibitof:CHOP_1101_R3C2_whole_cell.tiff,glioma_mibitof,2600,0.0006235364879163425,2.6153846153846154,7.352681101523059e-146,3.105754164404723e-97,0.125,5,"(2042, 2042)",1.1163064210042058e-145,4.712959307792007e-97
glioma_mibitof:CHOP_1101_R3C3_whole_cell.tiff,glioma_mibitof,1826,0.00048050583106720187,1.7853231106243155,1.0893668909524507e-62,1.2503210850447226e-44,0.125,5,"(2042, 1861)",1.2094179880712775e-62,1.4591751676362737e-44
glioma_mibitof:CHOP_1101_R4C1_whole_cell.tiff,glioma_mibitof,2037,0.0004887562078276814,1.7378497790868925,2.3089453572384124e-72,5.3992375481246765e-50,0.125,5,"(2042, 2041)",2.66377404900464e-72,6.515385959348286e-50
glioma_mibitof:CHOP_1101_R4C2_whole_cell.tiff,glioma_mibitof,1397,0.00037682979593466195,2.11882605583393,3.104744111272803e-67,1.0011765394791868e-43,0.125,5,"(1908, 1943)",3.513085456342378e-67,1.1593156591744532e-43
glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,glioma_mibitof,885,0.0002120345034044116,2.5762711864406778,4.893580873497173e-56,2.0706567241829736e-46,0.125,5,"(2043, 2043)",5.3398508273695565e-56,2.445787045999783e-46
glioma_mibitof:CHOP_1101_R6C2_whole_cell.tiff,glioma_mibitof,1272,0.00030565174587940836,2.3742138364779874,8.836976657022847e-81,1.2325390676241614e-36,0.125,5,"(2041, 2039)",1.0549647591698147e-80,1.367395917651956e-36
glioma_mibitof:CHOP_1101_R6C3_whole_cell.tiff,glioma_mibitof,938,0.00022484267005704484,3.560767590618337,8.548519149194411e-67,2.308069739382087e-34,0.125,5,"(2042, 2043)",9.655343690030432e-67,2.5229617767204263e-34
glioma_mibitof:CHOP_1101_R7C1_whole_cell.tiff,glioma_mibitof,3560,0.0008529299581585147,1.7752808988764044,1.4928873247513127e-155,5.316455384175992e-128,0.125,5,"(2044, 2042)",2.347576593755463e-155,9.306776998195979e-128
glioma_mibitof:CHOP_1101_R7C2_whole_cell.tiff,glioma_mibitof,1790,0.0004292809927086983,3.005586592178771,1.1398848428551746e-113,5.4210753910099517e-73,0.125,5,"(2043, 2041)",1.5417325094139066e-113,7.396250959425111e-73
glioma_mibitof:CHOP_1101_R7C3_whole_cell.tiff,glioma_mibitof,248,0.00023837008686090625,5.483870967741936,3.070322584278632e-33,5.5053356923477e-21,0.125,5,"(1021, 1019)",3.127402945434497e-33,5.637102743344874e-21
glioma_mibitof:CHOP_1101_R8C1_whole_cell.tiff,glioma_mibitof,5986,0.001434870861622454,1.8342799866354829,1.1495823750016447e-271,5.6274611296990354e-213,0.125,5,"(2044, 2041)",2.6772153297018167e-271,1.5046713277440144e-212
glioma_mibitof:CHOP_1101_R8C2_whole_cell.tiff,glioma_mibitof,1162,0.000278946054425688,2.7366609294320137,1.6810154057333387e-60,5.079834730578595e-47,0.125,5,"(2042, 2040)",1.854401664466696e-60,6.034356737769857e-47
glioma_mibitof:CHOP_1101_R8C3_whole_cell.tiff,glioma_mibitof,637,0.00015284136170376128,4.23861852433281,7.324539759910211e-69,2.3503948424195064e-39,0.125,5,"(2043, 2040)",8.339240856798976e-69,2.652794757092923e-39
glioma_mibitof:CHOP_1101_R98C2_whole_cell.tiff,glioma_mibitof,1106,0.0002649834864495447,1.952983725135624,2.86962443446517e-45,1.107299937503639e-28,0.125,5,"(2045, 2041)",3.018469891827122e-45,1.1758237690662579e-28
glioma_mibitof:CHOP_1101_R98C3_whole_cell.tiff,glioma_mibitof,5862,0.0014051475093269004,1.838962811327192,2.1336866498825247e-285,4.0318523598643407e-187,0.125,5,"(2044, 2041)",5.292695319764198e-285,9.460161472469073e-187
glioma_mibitof:CHOP_1101_R99C1_whole_cell.tiff,glioma_mibitof,5119,0.0012276477104334227,1.7972260207071693,4.269791302508645e-237,5.982808406459815e-150,0.125,5,"(2043, 2041)",8.790084533773565e-237,1.155492310041682e-149
glioma_mibitof:CHOP_1101_R99C2_whole_cell.tiff,glioma_mibitof,6092,0.0014602788336753915,1.8319107025607355,2.9656239982316333e-289,2.0066652422008313e-205,0.125,5,"(2043, 2042)",7.463048949619171e-289,5.187761218040725e-205
glioma_mibitof:CHOP_1101_R99C3_whole_cell.tiff,glioma_mibitof,5225,0.0012500059808898607,1.9177033492822966,5.811877827893465e-249,2.079739321170952e-182,0.125,5,"(2045, 2044)",1.2474566636777522e-248,4.730535979618997e-182
glioma_mibitof:CHOP_1101_R9C1_whole_cell.tiff,glioma_mibitof,975,0.00023382618296862844,3.1589743589743593,3.6874217491486006e-55,2.231378804094438e-34,0.125,5,"(2042, 2042)",4.0152782854222735e-55,2.439984595653687e-34
glioma_mibitof:CHOP_1101_R9C2_whole_cell.tiff,glioma_mibitof,806,0.00019348581744157016,4.292803970223325,8.04536554118513e-87,8.773238269727466e-48,0.125,5,"(2042, 2040)",9.84548455529826e-87,1.0457566074946136e-47
glioma_mibitof:CHOP_1101_R9C3_whole_cell.tiff,glioma_mibitof,1000,0.00023982178363614432,3.2199999999999998,4.932427558345374e-74,4.232960822590203e-50,0.125,5,"(2043, 2041)",5.737047025963725e-74,5.10998710821384e-50
glioma_mibitof:CHOP_907_R10C10_whole_cell.tiff,glioma_mibitof,574,0.0005517114107183879,4.45993031358885,1.0836944317608038e-67,6.259644496106398e-56,0.125,5,"(1021, 1019)",1.229341703737374e-67,7.810175693703668e-56
glioma_mibitof:CHOP_907_R10C11_whole_cell.tiff,glioma_mibitof,408,0.0003913894324853229,6.323529411764706,5.322171585906688e-59,1.8175738356927036e-38,0.125,5,"(1022, 1020)",5.854576210914613e-59,2.0425631841915484e-38
glioma_mibitof:CHOP_907_R10C12_whole_cell.tiff,glioma_mibitof,730,0.0007009659887461351,4.8493150684931505,9.899074152392372e-83,1.655260799204536e-70,0.125,5,"(1021, 1020)",1.190863196376016e-82,2.2262616175347825e-70
glioma_mibitof:CHOP_907_R10C13_whole_cell.tiff,glioma_mibitof,633,0.0006084198385236447,5.371248025276461,3.787668344395918e-80,2.11031910140028e-52,0.125,5,"(1020, 1020)",4.5079604571449894e-80,2.58959785998942e-52
glioma_mibitof:CHOP_907_R10C14_whole_cell.tiff,glioma_mibitof,457,0.00043882391350271745,5.207877461706784,8.858501416733858e-53,1.6919511564581932e-35,0.125,5,"(1021, 1020)",9.552865996015138e-53,1.8618616848551575e-35
glioma_mibitof:CHOP_907_R10C1_whole_cell.tiff,glioma_mibitof,894,0.0008626679018063918,4.407158836689038,5.513133180042121e-84,3.1801836296322528e-46,0.125,5,"(1020, 1016)",6.660547358325548e-84,3.7534820390557546e-46
glioma_mibitof:CHOP_907_R10C2_whole_cell.tiff,glioma_mibitof,229,0.0002198924927358659,7.510917030567686,1.1846725251480444e-35,2.535586979772669e-28,0.125,5,"(1022, 1019)",1.2126293988978506e-35,2.6897548022520536e-28
glioma_mibitof:CHOP_907_R10C4_whole_cell.tiff,glioma_mibitof,511,0.0004911572472126105,5.362035225048924,8.240127946278834e-67,4.9050859401189314e-27,0.125,5,"(1020, 1020)",9.310390584742691e-67,5.168213019902639e-27
glioma_mibitof:CHOP_907_R10C5_whole_cell.tiff,glioma_mibitof,233,0.000224612952358918,4.63519313304721,1.4239848154257678e-29,4.961066347661616e-13,0.125,5,"(1020, 1017)",1.4433964876905786e-29,4.981803924034477e-13
glioma_mibitof:CHOP_907_R10C6_whole_cell.tiff,glioma_mibitof,169,0.00016307893020221786,9.70414201183432,3.9919478660337407e-28,7.137723000410012e-18,0.125,5,"(1022, 1014)",4.035886431085585e-28,7.230330499604433e-18
glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,glioma_mibitof,81,7.823788954741796e-05,10.37037037037037,3.719458807331168e-20,1.9994628059302366e-10,0.125,5,"(1019, 1016)",3.7290111895008783e-20,2.0045978628957075e-10
glioma_mibitof:CHOP_907_R10C8_whole_cell.tiff,glioma_mibitof,687,0.000660322952710496,4.075691411935954,8.094066433952986e-65,1.4661840004070377e-43,0.125,5,"(1020, 1020)",9.076398374590728e-65,1.6952582870311658e-43
glioma_mibitof:CHOP_907_R10C9_whole_cell.tiff,glioma_mibitof,395,0.0003792898158283882,5.721518987341772,1.2557038007570157e-48,7.810479549261692e-33,0.125,5,"(1021, 1020)",1.3384173958239453e-48,8.469488761230647e-33
glioma_mibitof:CHOP_907_R11C10_whole_cell.tiff,glioma_mibitof,495,0.00047578037593377904,5.292929292929293,7.79577156970521e-57,1.3875291926648548e-36,0.125,5,"(1022, 1018)",8.536533875241716e-57,1.5382512135933054e-36
glioma_mibitof:CHOP_907_R11C11_whole_cell.tiff,glioma_mibitof,345,0.0003316035482540833,6.260869565217392,3.698497913879939e-44,1.5482610597164133e-30,0.125,5,"(1021, 1019)",3.87078049096751e-44,1.662158573219099e-30
glioma_mibitof:CHOP_907_R11C12_whole_cell.tiff,glioma_mibitof,761,0.0007293030316389097,4.756898817345598,5.504324474343089e-87,2.8404747625149344e-63,0.125,5,"(1022, 1021)",6.741178562107242e-87,3.699250493467114e-63
glioma_mibitof:CHOP_907_R11C13_whole_cell.tiff,glioma_mibitof,482,0.00046328335255670897,4.771784232365145,3.025711985237185e-51,9.383684570542438e-29,0.125,5,"(1020, 1020)",3.25389067833875e-51,9.971162611025532e-29
glioma_mibitof:CHOP_907_R11C14_whole_cell.tiff,glioma_mibitof,784,0.0007535570487860907,4.668367346938775,7.074320152387961e-78,4.335993698370781e-66,0.125,5,"(1019, 1021)",8.330732215651433e-78,5.716044035463043e-66
glioma_mibitof:CHOP_907_R11C1_whole_cell.tiff,glioma_mibitof,1005,0.0009659755536097209,4.039800995024875,9.527500390316605e-81,9.971446640230218e-49,0.125,5,"(1021, 1019)",1.1369653694672816e-80,1.1954252536444903e-48
glioma_mibitof:CHOP_907_R11C2_whole_cell.tiff,glioma_mibitof,257,0.0002475063971254588,7.626459143968872,6.30642014106055e-44,4.247964308611302e-30,0.125,5,"(1021, 1017)",6.589143559896988e-44,4.544841567589276e-30
glioma_mibitof:CHOP_907_R11C3_whole_cell.tiff,glioma_mibitof,813,0.0007814302191464822,5.043050430504305,3.871711760486769e-96,7.297264902654595e-44,0.125,5,"(1020, 1020)",4.933233711954378e-96,8.471880405572602e-44
glioma_mibitof:CHOP_907_R11C4_whole_cell.tiff,glioma_mibitof,598,0.0005736541191819194,5.317725752508362,1.730259897376612e-63,9.728256597647122e-36,0.125,5,"(1022, 1020)",1.9271047287828672e-63,1.0731665614430223e-35
glioma_mibitof:CHOP_907_R11C5_whole_cell.tiff,glioma_mibitof,169,0.0001624376801592466,9.467455621301776,1.33687926163761e-26,1.7102566114506246e-25,0.125,5,"(1021, 1019)",1.3485380924077056e-26,1.7893237512764828e-25
glioma_mibitof:CHOP_907_R11C7_whole_cell.tiff,glioma_mibitof,58,5.6857170865601413e-05,11.03448275862069,4.145594263615002e-14,8.281613691355867e-14,0.125,5,"(1010, 1010)",4.148250844367078e-14,8.321582869402952e-14
glioma_mibitof:CHOP_907_R11C8_whole_cell.tiff,glioma_mibitof,799,0.0007694826457105436,4.155193992490613,9.610630810458044e-78,1.8181871685218656e-52,0.125,5,"(1020, 1018)",1.1308967604016757e-77,2.233752371083315e-52
glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,glioma_mibitof,418,0.00040176893672523714,5.167464114832536,2.3909222435485357e-53,3.064804365858469e-28,0.125,5,"(1021, 1019)",2.582791479281244e-53,3.247839848855106e-28
glioma_mibitof:CHOP_907_R12C10_whole_cell.tiff,glioma_mibitof,383,0.0003681276432141484,6.8407310704960835,1.3176776956830772e-62,3.589042793121137e-34,0.125,5,"(1020, 1020)",1.4618498911610125e-62,3.9163454377768385e-34
glioma_mibitof:CHOP_907_R12C11_whole_cell.tiff,glioma_mibitof,423,0.00040737277305291707,6.997635933806147,1.7543043031986031e-66,1.3955685416811472e-19,0.125,5,"(1019, 1019)",1.9792963652056496e-66,1.4238355294577664e-19
glioma_mibitof:CHOP_907_R12C12_whole_cell.tiff,glioma_mibitof,637,0.0006110657581580157,4.552590266875981,4.9334009418409465e-57,5.056448153204041e-37,0.125,5,"(1021, 1021)",5.404072655688978e-57,5.6317002790500075e-37
glioma_mibitof:CHOP_907_R12C13_whole_cell.tiff,glioma_mibitof,276,0.0002652828386032666,7.536231884057972,1.7741013765280742e-42,6.464402851332667e-33,0.125,5,"(1021, 1019)",1.8437665886513064e-42,7.017146369381967e-33
glioma_mibitof:CHOP_907_R12C14_whole_cell.tiff,glioma_mibitof,396,0.00037913457745642826,6.717171717171717,5.503480783244284e-44,4.8607984404858884e-26,0.125,5,"(1022, 1022)",5.754057745588181e-44,5.1043286918753967e-26
glioma_mibitof:CHOP_907_R12C2_whole_cell.tiff,glioma_mibitof,247,0.00023740891715582195,7.854251012145749,1.6145591507620615e-49,2.6208631866892812e-27,0.125,5,"(1021, 1019)",1.726213018770941e-49,2.7661222480671258e-27
glioma_mibitof:CHOP_907_R12C3_whole_cell.tiff,glioma_mibitof,851,0.0008163539388358083,4.324324324324325,4.149757710434841e-92,3.450711012156183e-56,0.125,5,"(1022, 1020)",5.194265863602408e-92,4.319266729845194e-56
glioma_mibitof:CHOP_907_R12C4_whole_cell.tiff,glioma_mibitof,629,0.0006045751633986928,5.151033386327504,1.156100088154365e-68,7.857721561836267e-44,0.125,5,"(1020, 1020)",1.3153007560313596e-68,9.115774308177808e-44
glioma_mibitof:CHOP_907_R12C5_whole_cell.tiff,glioma_mibitof,350,0.0003364090734332949,6.514285714285714,1.814990145333137e-41,8.92717831956549e-18,0.125,5,"(1020, 1020)",1.877513820429078e-41,9.037140321556897e-18
glioma_mibitof:CHOP_907_R12C6_whole_cell.tiff,glioma_mibitof,904,0.0008714580148109302,4.336283185840708,1.2435787027369223e-84,1.2351570887455597e-45,0.125,5,"(1019, 1018)",1.5064764502123386e-84,1.449059199155666e-45
glioma_mibitof:CHOP_907_R12C7_whole_cell.tiff,glioma_mibitof,407,0.00039081254441051644,5.7002457002457,9.499319563413724e-50,7.085402866128846e-30,0.125,5,"(1021, 1020)",1.0170166265526588e-49,7.57279710846009e-30
glioma_mibitof:CHOP_907_R12C8_whole_cell.tiff,glioma_mibitof,419,0.00040154792412181757,5.966587112171838,2.9066551546660004e-63,1.2234609607421373e-39,0.125,5,"(1021, 1022)",3.2338739038197077e-63,1.3843726740571358e-39
glioma_mibitof:CHOP_907_R12C9_whole_cell.tiff,glioma_mibitof,772,0.0007420222991157248,4.61139896373057,1.9968455540682732e-83,2.981485774738053e-50,0.125,5,"(1020, 1020)",2.404993700484079e-83,3.602003897294754e-50
glioma_mibitof:CHOP_907_R13C10_whole_cell.tiff,glioma_mibitof,339,0.000326155977602032,5.368731563421829,5.139766168895232e-43,1.535428135735303e-25,0.125,5,"(1020, 1019)",5.354065959126021e-43,1.6069510951412035e-25
glioma_mibitof:CHOP_907_R13C11_whole_cell.tiff,glioma_mibitof,463,0.0004445852777937816,5.183585313174946,4.53259665103583e-56,1.2598127254743448e-25,0.125,5,"(1021, 1020)",4.949405364050663e-56,1.319381335230174e-25
glioma_mibitof:CHOP_907_R13C13_whole_cell.tiff,glioma_mibitof,81,7.785474611182825e-05,18.02469135802469,1.9136559805721123e-20,3.6258566501684083e-17,0.125,5,"(1021, 1019)",1.9191867782038237e-20,3.666952823340654e-17
glioma_mibitof:CHOP_907_R13C14_whole_cell.tiff,glioma_mibitof,398,0.00038179655423813363,6.532663316582915,3.6050196821464547e-37,4.272205888504437e-25,0.125,5,"(1022, 1020)",3.705884288131461e-37,4.457767788105364e-25
glioma_mibitof:CHOP_907_R13C2_whole_cell.tiff,glioma_mibitof,265,0.00025446025618866547,7.09433962264151,1.0583334087546227e-41,8.484785363159341e-24,0.125,5,"(1020, 1021)",1.0958803831368324e-41,8.794551838415739e-24
glioma_mibitof:CHOP_907_R13C3_whole_cell.tiff,glioma_mibitof,745,0.0007160707420222991,4.671140939597315,4.926090542853869e-86,2.2372633110981538e-65,0.125,5,"(1020, 1020)",6.0070990883766624e-86,2.941883503393488e-65
